date,description,amount,category
2025-04-01,"PAYROLL DIRECT DEP",-3593.84,"Income"
2025-04-05,"RENT PAYMENT",533.77,"Rent And Utilities"
2025-04-07,"DUKE ENERGY",143.49,"Rent And Utilities"
2025-04-13,"STATE FARM",161.12,"General Services"
2025-04-14,"WATER BILL",75.11,"Rent And Utilities"
2025-04-15,"GOV*NC DMV",191.48,"Government And Non Profit"
2025-04-16,"VERIZON",66.86,"Rent And Utilities"
2025-04-16,"NC QUICK PASS REBILL",13.35,"Transportation"
2025-04-16,"Jiffy Lube",55.87,"General Services"
2025-04-19,"WWP*HOMETEAM PEST DEFENSE",51.13,"Home Improvement"
2025-04-21,"DUKE ENERGY",123.77,"Rent And Utilities"
2025-04-27,"CHASE CREDIT CRD AUTOPAY",1207.64,"Transfer Out"
2025-04-28,"FI DPvV4G",84.56,"Rent And Utilities"
