date,description,amount,category
2025-12-01,"NETFLIX",18.00,"General Services"
2025-12-03,"AMAZON MKTPL",38.71,"General Merchandise"
2025-12-04,"AMAZON MKTPL",69.95,"General Merchandise"
2025-12-04,"TARGET",68.58,"General Merchandise"
2025-12-05,"STARBUCKS",6.50,"Food And Drink"
2025-12-06,"SP MARBLES PLAYSTOREI",9.54,"General Merchandise"
2025-12-07,"FIREBIRDS MORRISVILLE",52.59,"Food And Drink"
2025-12-08,"DOMINO'S",26.68,"Food And Drink"
2025-12-11,"SPOTIFY",14.50,"Government And Non Profit"
2025-12-12,"AMAZON MKTPL",157.87,"General Merchandise"
2025-12-12,"TARGET",29.46,"General Merchandise"
2025-12-13,"AMAZON MKTPL",92.37,"General Merchandise"
2025-12-14,"FAILBETTER GAMES",15.20,"General Merchandise"
2025-12-15,"STARBUCKS",10.85,"Food And Drink"
2025-12-16,"Wikimedia",6.99,"Government And Non Profit"
2025-12-19,"AMAZON MKTPL",56.38,"General Merchandise"
2025-12-20,"TARGET",54.49,"General Merchandise"
2025-12-23,"WHOLE FOODS",84.26,"Food And Drink"
2025-12-23,"FIREBIRDS MORRISVILLE",75.25,"Food And Drink"
2025-12-25,"TARGET",79.92,"General Merchandise"
2025-12-25,"STARBUCKS",6.97,"Food And Drink"
2025-12-25,"DOMINO'S",40.28,"Food And Drink"
2025-12-25,"SP MARBLES PLAYSTOREI",2.34,"General Merchandise"
2025-12-26,"AMAZON MKTPL",192.84,"General Merchandise"
2025-12-28,"TRADER JOES",64.46,"Food And Drink"
2025-12-29,"AMAZON MKTPL",103.29,"General Merchandise"
